Visits,URI,Controller,Method
admin/events/reports/attendees-csv,App\Http\Controllers\ReEventAttendeesController,getAttendeesSpreadsheet
admin/events/reports/attendees-csv,App\Http\Controllers\ReEventAttendeesController,postAttendeesSpreadsheet
admin/events/reports/quartile-sales,App\Http\Controllers\ReEventReportsController,getQuartileSales
admin/events/resendAttendeeEmail,App\Http\Controllers\ReEventAttendeesController,postResendEmail
admin/events/send-calendar/{id},App\Http\Controllers\ReEventsController,sendCalendar
admin/events/send-times,App\Http\Controllers\Events\SendTimeController,getIndex
admin/events/send-times,App\Http\Controllers\Events\SendTimeController,postIndex
admin/events/stats,App\Http\Controllers\EventStatsController,index
admin/events/stats,App\Http\Controllers\EventStatsController,postGenerateStats
admin/events/stats/monthly,App\Http\Controllers\EventStatsController,getMonthlyAggregateStats
admin/events/stats/monthly,App\Http\Controllers\EventStatsController,postMonthlyAggregateStats
admin/events/stats/monthlyCsv,App\Http\Controllers\EventStatsController,postMonthlyAggregateStatsCsv
admin/events/statsCsv,App\Http\Controllers\EventStatsController,postGenerateStatsCsv
admin/events/sync-webinar-attendees,App\Http\Controllers\ReEventsController,getSyncWebinarAttendees
admin/events/sync-webinar-attendees,App\Http\Controllers\ReEventsController,postSyncWebinarAttendees
admin/events/zapier-webhook/{webhook},App\Http\Controllers\Admin\Events\EventZapierWebhookController,destroy
admin/events/{eventId}/available-comps/{companyId},App\Http\Controllers\ReEventAttendeesController,getNumberOfAvailableComps
admin/events/{eventId}/delete-raw-space-image/{rawSpaceStatus}/{imageField},App\Http\Controllers\ReEventsController,deleteRawSpaceImageOld
admin/events/{event}/iterable/associate-campaign,App\Http\Controllers\Events\IterableController,associateCampaign
admin/events/{event}/iterable/campaigns/{campaign},App\Http\Controllers\Events\IterableController,deleteCampaign
admin/events/{event}/iterable/create-campaign,App\Http\Controllers\Events\IterableController,createCampaign
admin/events/{event}/iterable/journeys,App\Http\Controllers\Events\IterableController,associateJourney
admin/events/{event}/iterable/journeys/{journey},App\Http\Controllers\Events\IterableController,deleteJourney
admin/events/{event}/iterable/journeys/{journey}/trigger,App\Http\Controllers\Events\IterableController,triggerJourney
admin/events/{event}/setup-default-iterable-campaigns,App\Http\Controllers\Events\IterableController,setupDefaultCampaigns
admin/events/{event}/zapier-webhook,App\Http\Controllers\Admin\Events\EventZapierWebhookController,store
admin/events/{event}/zapier-webhooks,App\Http\Controllers\Admin\Events\EventZapierWebhookController,index
admin/events/{id}/attributes,App\Http\Controllers\ReEventsController,postAttributes
admin/events/{id}/imageAttribute,App\Http\Controllers\ReEventsController,postImageAttribute
admin/events/{id}/upload,App\Http\Controllers\ReEventsController,upload
admin/faqcategories,App\Http\Controllers\FaqCategoriesController,index
admin/faqcategories,App\Http\Controllers\FaqCategoriesController,store
admin/faqcategories/create,App\Http\Controllers\FaqCategoriesController,create
admin/faqcategories/{faqcategory},App\Http\Controllers\FaqCategoriesController,destroy
admin/faqcategories/{faqcategory},App\Http\Controllers\FaqCategoriesController,show
admin/faqcategories/{faqcategory},App\Http\Controllers\FaqCategoriesController,update
admin/faqcategories/{faqcategory}/edit,App\Http\Controllers\FaqCategoriesController,edit
admin/faqs,App\Http\Controllers\FaqsController,index
admin/faqs,App\Http\Controllers\FaqsController,store
admin/faqs/create,App\Http\Controllers\FaqsController,create
admin/faqs/{faq},App\Http\Controllers\FaqsController,destroy
admin/faqs/{faq},App\Http\Controllers\FaqsController,show
admin/faqs/{faq},App\Http\Controllers\FaqsController,update
admin/faqs/{faq}/edit,App\Http\Controllers\FaqsController,edit
admin/functions/upload,App\Http\Controllers\UploadController,get
admin/functions/upload,App\Http\Controllers\UploadController,post
admin/ga/analytics,App\Http\Controllers\GoogleAnalyticsController,testAnalytics
admin/ga/analytics,App\Http\Controllers\GoogleAnalyticsController,testAnalytics
admin/ga/service,App\Http\Controllers\GoogleAnalyticsController,testDoubleClick
admin/get-content-sponsor,App\Http\Controllers\AdminController,getAddContentSponsors
admin/get-content-sponsor-by-po/{ponumber}/{content_id},App\Http\Controllers\AdminController,getContentSponsorsByPO
admin/get-sponsors-by-name,App\Http\Controllers\AdminController,getContentSponsorsByName
admin/groups/create,App\Http\Controllers\GroupsController,create
admin/groups/{group},App\Http\Controllers\GroupsController,destroy
admin/groups/{group},App\Http\Controllers\GroupsController,show
admin/groups/{group},App\Http\Controllers\GroupsController,update
admin/groups/{group}/edit,App\Http\Controllers\GroupsController,edit
admin/howtos,App\Http\Controllers\HowtosController,index
admin/howtos,App\Http\Controllers\HowtosController,store
admin/howtos/create,App\Http\Controllers\HowtosController,create
admin/howtos/{howto}/edit,App\Http\Controllers\HowtosController,edit
admin/lists/blast/{template}/{id},App\Http\Controllers\ListController,getBlast
admin/lists/edit/{id},App\Http\Controllers\ListController,getEdit
admin/lists/edit/{id},App\Http\Controllers\ListController,postEdit
admin/mailing_lists,App\Http\Controllers\Mailing_listsController,index
admin/mailing_lists,App\Http\Controllers\Mailing_listsController,store
admin/mailing_lists/create,App\Http\Controllers\Mailing_listsController,create
admin/mailing_lists/{mailing_list},App\Http\Controllers\Mailing_listsController,destroy
admin/mailing_lists/{mailing_list},App\Http\Controllers\Mailing_listsController,show
admin/mailing_lists/{mailing_list},App\Http\Controllers\Mailing_listsController,update
admin/mailing_lists/{mailing_list}/edit,App\Http\Controllers\Mailing_listsController,edit
admin/meta-desc/{contentId},App\Http\Controllers\AdminController,storeMetaDescriptionAndFormat
admin/nps/question/{id},App\Http\Controllers\NPSAdminController,question
admin/nps/question/{id},App\Http\Controllers\NPSAdminController,questionUpdate
admin/nps/questions,App\Http\Controllers\NPSAdminController,questions
admin/nps/questions/create,App\Http\Controllers\NPSAdminController,questionCreate
admin/order/{id}/resendAttenddeeListDownloadLink,App\Http\Controllers\AdminOrderController,resendAttenddeeListDownloadLink
admin/order/{order_id}/line-item-credit/email/{line_item_id},App\Http\Controllers\AdminOrderController,postLineItemCreditEmail
admin/placements/title,App\Http\Controllers\PlacementsController,postCustomTitle
admin/press,App\Http\Controllers\PressController,index
admin/press,App\Http\Controllers\PressController,store
admin/press/create,App\Http\Controllers\PressController,create
admin/press/{press},App\Http\Controllers\PressController,destroy
admin/press/{press},App\Http\Controllers\PressController,show
admin/press/{press},App\Http\Controllers\PressController,update
admin/press/{press}/edit,App\Http\Controllers\PressController,edit
admin/promos,App\Http\Controllers\PromosController,index
admin/promos,App\Http\Controllers\PromosController,store
admin/promos/create,App\Http\Controllers\PromosController,create
admin/promos/{promo},App\Http\Controllers\PromosController,destroy
admin/promos/{promo},App\Http\Controllers\PromosController,show
admin/promos/{promo},App\Http\Controllers\PromosController,update
admin/promos/{promo}/edit,App\Http\Controllers\PromosController,edit
admin/questionnaire/answer/{answer},App\Http\Controllers\Admin\Questionnaires\QuestionnairesController,deleteAnswer
admin/questionnaire/question/{question},App\Http\Controllers\Admin\Questionnaires\QuestionnairesController,deleteQuestion
admin/reports/csv/{report},App\Http\Controllers\ReportsController,csv
admin/reports/settledSales/make,App\Http\Controllers\SettledSalesReportController,makeReport
admin/sales/abandoned-orders,App\Http\Controllers\AdminOrderController,getAbandonedOrders
admin/sales/attendeeListItems/{id},App\Http\Controllers\AdminStoreFrontItemController,fetchAttendeeList
admin/sales/discounts/addEmails/{id},App\Http\Controllers\DiscountCodeController,postEmails
admin/sales/discounts/delete/{id},App\Http\Controllers\DiscountCodeController,postDelete
admin/sales/discounts/deleteEmail/{id},App\Http\Controllers\DiscountCodeController,deleteEmail
admin/sales/discounts/uploadEmails/{id},App\Http\Controllers\DiscountCodeController,uploadEmails
admin/sales/invoices/markAsPaid/{order_id},App\Http\Controllers\AdminOrderController,postMarkAsPaid
admin/sales/invoices/resendInvoiceEmail/{order_id},App\Http\Controllers\AdminOrderController,resendInvoiceEmail
admin/sales/invoices/testEmail/{order_id},App\Http\Controllers\AdminOrderController,testInvoice
admin/sales/invoices/unvoidInvoice/{order_id},App\Http\Controllers\AdminOrderController,postUnvoidInvoice
admin/sales/invoices/update-manual/{order_id},App\Http\Controllers\AdminOrderController,showUpdateManualInvoice
